ph,sec_Mn,sec_Mw,sec_polyDisp,energyAbsorp,strainMaxLoad,stressMaxLoad,youngsMod
,44.1,127.6,2.89,0.072340,0.051118,28.779,2274.6
,35.9,85.4,2.377,0.023396,0.030050,9.7289,1416.2
,20.1,93.4,4.653,0.034683,0.034793,13.585,2083.7
,29.5,91.2,3.094,0.057662,0.044734,21.320,2015.6
5.065,76.8,161.6,2.105,0.036076,0.047622,16.132,1798.6
,33.5,122.7,3.667,0.036317,0.034782,16.115,1852.0
,58.6,107.2,1.829,0.055638,0.039130,23.529,1919.3
,48.9,105,2.148,0.049192,0.038124,18.333,1780.8
,55.9,124.9,2.236,0.036156,0.031712,17.302,1539.3
,26.6,53.3,2.007,0.029420,0.028192,13.780,1505.6
,18.6,67.9,3.652,0.023906,0.024612,14.191,2044.1
4.830,20,102.4,5.111,0.051608,0.036355,26.062,2465.3
,19.4,81.6,4.212,0.051593,0.034420,27.238,2513.4
,23,80.2,3.495,0.053586,0.048074,23.884,2067.7
,27.4,108.5,3.959,0.051623,0.040532,28.012,2454.2
,45.5,88.3,1.943,0.056732,0.045262,21.359,1705.9
,26.6,85,3.199,0.028100,0.028745,9.9309,1094.6
,21.4,62.4,2.917,0.040640,0.036762,15.844,1427.7
5.207,43.6,81.9,1.878,0.024390,0.028714,9.6245,1269.0
,24.5,79,3.226,0.029432,0.037228,14.758,1482.6
,22.2,49.3,2.221,0.031684,0.033994,16.452,1607.6
,29.9,76.2,2.545,0.049166,0.037218,16.102,1819.0
,22.1,49.4,2.236,0.038232,0.030457,15.988,2443.0
,35.8,82.2,2.296,0.036788,0.031420,19.610,2257.3
,32.5,79.6,2.45,0.030906,0.027886,18.326,2007.5
5.165,20.1,48,2.387,0.0082300,0.011892,9.8780,NaN
,31.5,82.7,2.623,0.0054140,0.014892,9.0508,NaN
,22.7,68.6,3.021,0.044392,0.038707,17.290,1917.3
,33.4,61.4,1.84,0.047474,0.036920,13.598,1418.5
,35.1,94.2,2.681,0.051710,0.040588,22.015,2256.0
,31.8,220.4,6.933,0.12689,0.066282,32.980,1467.7
,19.8,72.5,3.656,0.057664,0.039060,21.674,1834.0
6.405,26.3,239.2,9.093,0.044204,0.033726,19.323,1721.6
,31.2,75.4,2.414,0.051104,0.041714,18.027,1759.0
,21.4,55.4,2.586,0.031190,0.029160,13.942,1902.5
,28.4,69.2,2.435,0.043100,0.040532,18.667,1347.2
,46.2,123.9,2.679,0.043650,0.040256,18.593,1592.4
,20.5,85.2,4.151,0.063876,0.047024,27.247,1660.7
,13,48.5,3.736,0.043946,0.036762,23.002,2035.6
4.960,31.9,127.4,3.996,0.036086,0.033472,18.782,1475.0
,14.2,59.8,4.212,0.033596,0.035100,15.013,1290.1
,13.7,44.4,3.244,0.022548,0.027784,16.801,2109.4
,26,52.8,2.034,0.025630,0.034132,9.9723,1273.9
,36,79,2.197,0.043530,0.044484,20.516,1628.6
,34.3,67.2,1.959,0.028900,0.034150,20.722,1965.6
,20.5,57.3,2.797,0.030072,0.033072,19.755,1904.6
5.067,25,102.4,4.087,0.052760,0.046286,27.456,2277.9
,48.7,89.5,1.837,0.12326,0.058950,29.825,1362.8
,37,128.7,3.477,0.053340,0.048858,33.582,1995.9
,48,201.1,4.193,0.067080,0.050686,28.187,1818.3
,19.4,112.6,5.816,0.033742,0.035952,18.270,2020.1
,28.9,127.8,4.429,0.041088,0.037770,13.485,1290.2
