maxLoad,stressMaxLoad,strainMaxLoad,energyAbsorp,ph,sec_Mn,sec_Mw,sec_polyDisp
34.67,28.779,0.051118,0.07234,5.065,44.1,127.6,2.89
12.71,9.7289,0.03005,0.023396,4.83,35.9,85.4,2.377
17.301,13.585,0.034793,0.034683,5.207,20.1,93.4,4.653
25.879,21.32,0.044734,0.057662,5.165,29.5,91.2,3.094
14.901,16.132,0.047622,0.036076,6.405,76.8,161.6,2.105
17.917,16.115,0.034782,0.036317,4.96,33.5,122.7,3.667
25.052,23.529,0.03913,0.055638,5.067,58.6,107.2,1.829
21.543,18.333,0.038124,0.049192,5.265,48.9,105.0,2.148
21.009,17.302,0.031712,0.036156,4.89,55.9,124.9,2.236
18.361,13.78,0.028192,0.02942,5.12,26.6,53.3,2.007
17.563,14.191,0.024612,0.023906,4.7,18.6,67.9,3.652
27.457,26.062,0.036355,0.051608,4.78,20.0,102.4,5.111
28.773,27.238,0.03442,0.051593,4.93,19.4,81.6,4.212
24.492,23.884,0.048074,0.053586,5.165,23.0,80.2,3.495
23.765,28.012,0.040532,0.051623,6.2,27.4,108.5,3.959
29.257,21.359,0.045262,0.056732,5.105,45.5,88.3,1.943
14.92,9.9309,0.028745,0.0281,5.01,26.6,85.0,3.199
24.094,15.844,0.036762,0.04064,4.94,21.4,62.4,2.917
24.094,15.844,0.036762,0.04064,4.94,43.6,81.9,1.878
24.094,15.844,0.036762,0.04064,6.95,21.4,62.4,2.917
24.094,15.844,0.036762,0.04064,6.95,43.6,81.9,1.878
12.043,9.6245,0.028714,0.02439,4.94,21.4,62.4,2.917
12.043,9.6245,0.028714,0.02439,4.94,43.6,81.9,1.878
12.043,9.6245,0.028714,0.02439,6.95,21.4,62.4,2.917
12.043,9.6245,0.028714,0.02439,6.95,43.6,81.9,1.878
18.013,14.758,0.037228,0.029432,5.85,24.5,79.0,3.226
18.013,14.758,0.037228,0.029432,5.85,22.2,49.3,2.221
18.013,14.758,0.037228,0.029432,5.785,24.5,79.0,3.226
18.013,14.758,0.037228,0.029432,5.785,22.2,49.3,2.221
19.484,16.452,0.033994,0.031684,5.85,24.5,79.0,3.226
19.484,16.452,0.033994,0.031684,5.85,22.2,49.3,2.221
19.484,16.452,0.033994,0.031684,5.785,24.5,79.0,3.226
19.484,16.452,0.033994,0.031684,5.785,22.2,49.3,2.221
23.439,16.102,0.037218,0.049166,4.995,29.9,76.2,2.545
19.518,15.988,0.030457,0.038232,4.79,22.1,49.4,2.236
19.73,19.61,0.03142,0.036788,5.065,35.8,82.2,2.296
19.245,18.326,0.027886,0.030906,4.885,32.5,79.6,2.45
10.447,9.878,0.011892,0.00823,4.23,20.1,48.0,2.387
7.5063,9.0508,0.014892,0.005414,4.675,31.5,82.7,2.623
21.009,17.29,0.038707,0.044392,4.705,22.7,68.6,3.021
23.49,13.598,0.03692,0.047474,4.885,33.4,61.4,1.84
26.482,22.015,0.040588,0.05171,4.68,35.1,94.2,2.681
52.132,32.98,0.066282,0.12689,5.47,31.8,220.4,6.933
30.552,21.674,0.03906,0.057664,4.88,19.8,72.5,3.656
29.045,19.323,0.033726,0.044204,4.335,26.3,239.2,9.093
22.438,18.027,0.041714,0.051104,4.595,31.2,75.4,2.414
16.79,13.942,0.02916,0.03119,4.56,21.4,55.4,2.586
30.14,18.667,0.040532,0.0431,4.87,28.4,69.2,2.435
20.251,18.593,0.040256,0.04365,5.055,46.2,123.9,2.679
