,maxLoad,stressMaxLoad,strainMaxLoad,energyAbsorp,youngsMod,ph,sec_Mn,sec_Mw,sec_polyDisp,sec_calcMass,sec_massRec,doubleFold
0,34.67,28.779,0.051118,0.07234,2274.6,5.065,44.1,127.6,2.89,22.45,71.9,10.0
1,12.71,9.7289,0.03005,0.023396,1416.2,4.83,35.9,85.4,2.377,10.53,23.4,10.0
2,17.301,13.585,0.034793,0.034683,2083.7,5.207,20.1,93.4,4.653,20.54,65.8,10.0
3,25.879,21.32,0.044734,0.057662,2015.6,5.165,29.5,91.2,3.094,6.84,21.9,10.0
4,14.901,16.132,0.047622,0.036076,1798.6,6.405,76.8,161.6,2.105,7.92,25.4,10.0
5,17.917,16.115,0.034782,0.036317,1852.0,4.96,33.5,122.7,3.667,16.37,52.5,10.0
6,25.052,23.529,0.03913,0.055638,1919.3,5.067,58.6,107.2,1.829,11.44,36.7,10.0
7,21.543,18.333,0.038124,0.049192,1780.8,5.265,48.9,105.0,2.148,8.76,28.1,10.0
8,21.009,17.302,0.031712,0.036156,1539.3,4.89,55.9,124.9,2.236,11.23,36.0,10.0
9,18.361,13.78,0.028192,0.02942,1505.6,5.12,26.6,53.3,2.007,15.61,50.0,10.0
10,17.563,14.191,0.024612,0.023906,2044.1,4.7,18.6,67.9,3.652,22.89,73.4,2.0
11,27.457,26.062,0.036355,0.051608,2465.3,4.78,20.0,102.4,5.111,21.83,70.0,10.0
12,28.773,27.238,0.03442,0.051593,2513.4,4.93,19.4,81.6,4.212,22.0,70.5,10.0
13,24.492,23.884,0.048074,0.053586,2067.7,5.165,23.0,80.2,3.495,12.59,40.3,10.0
14,23.765,28.012,0.040532,0.051623,2454.2,6.2,27.4,108.5,3.959,18.45,59.1,10.0
15,29.257,21.359,0.045262,0.056732,1705.9,5.105,45.5,88.3,1.943,15.87,50.9,10.0
16,14.92,9.9309,0.028745,0.0281,1094.6,5.01,26.6,85.0,3.199,24.98,80.1,10.0
17,24.094,15.844,0.036762,0.04064,1427.7,4.94,21.4,62.4,2.917,17.04,54.6,10.0
18,12.043,9.6245,0.028714,0.02439,1269.0,6.95,43.6,81.9,1.878,8.36,26.8,10.0
19,18.013,14.758,0.037228,0.029432,1482.6,5.85,22.2,49.3,2.221,7.6,24.4,10.0
20,19.484,16.452,0.033994,0.031684,1607.6,5.785,24.5,79.0,3.226,18.96,60.8,10.0
