,maxLoad,stressMaxLoad,strainMaxLoad,energyAbsorp,youngsMod,ph,sec_Mn,sec_Mw,sec_polyDisp,sec_calcMass,sec_massRec,year,publisher
0,34.67,28.779,0.051118000000000004,0.07234,2274.6,5.065,44.1,127.6,2.89,22.45,71.9,1840-01-01,sumptibus Societatis Camdenensis
1,12.71,9.7289,0.03005,0.023396,1416.2,4.83,35.9,85.4,2.377,10.53,23.4,1840-01-01,"Printed for the Camden Society, by J.B. Nichols and Son"
2,17.301,13.585,0.034793,0.034683,2083.7,5.207000000000001,20.1,93.4,4.6530000000000005,20.54,65.8,1842-01-01,"Printed for the Camden Society, by J.B. Nichols and Son"
3,25.879,21.32,0.044733999999999996,0.057662,2015.6,5.165,29.5,91.2,3.094,6.84,21.9,1843-01-01,"Printed for the Camden Society, by J.B. Nichols and Son"
4,14.901,16.132,0.047622000000000005,0.036076,1798.6,6.405,76.8,161.6,2.105,7.92,25.4,1844-01-01,J. Winchester
5,17.917,16.115,0.034782,0.036317,1852.0,4.96,33.5,122.7,3.667,16.37,52.5,1847-01-01,"Printed for the Camden Society, by J.B. Nichols and Son"
6,25.052,23.529,0.03913,0.055638,1919.3,5.067,58.6,107.2,1.829,11.44,36.7,1847-01-01,"Printed for the Camden Society, by J.B. Nichols and Son"
7,21.543000000000003,18.333,0.038124,0.049192,1780.8,5.265,48.9,105.0,2.148,8.76,28.1,1848-01-01,"Printed for the Camden Society, by J.B. Nichols and Son"
8,21.009,17.302,0.031712,0.036156,1539.3,4.89,55.9,124.9,2.2359999999999998,11.23,36.0,1849-01-01,Printed for the Camden Society
9,18.361,13.78,0.028192000000000002,0.029419999999999998,1505.6,5.12,26.6,53.3,2.0069999999999997,15.61,50.0,1851-01-01,G.P. Putnam
10,17.563,14.190999999999999,0.024612000000000002,0.023906,2044.1,4.7,18.6,67.9,3.6519999999999997,22.89,73.4,1852-01-01,J. Murray
11,27.456999999999997,26.061999999999998,0.036355,0.051608,2465.3,4.78,20.0,102.4,5.111000000000001,21.83,70.0,1853-01-01,Printed for the Camden Society
12,28.773000000000003,27.238000000000003,0.03442,0.05159299999999999,2513.4,4.93,19.4,81.6,4.212,22.0,70.5,1853-01-01,Printed for the Camden Society
