year,count
1840-01-01,8
1842-01-01,4
1843-01-01,4
1844-01-01,5
1847-01-01,12
1848-01-01,4
1849-01-01,9
1851-01-01,4
1852-01-01,13
1853-01-01,22
1854-01-01,9
1855-01-01,3
1856-01-01,11
1857-01-01,5
1859-01-01,4
1860-01-01,5
1861-01-01,2
1862-01-01,5
1863-01-01,3
1865-01-01,8
1866-01-01,5
1867-01-01,9
1868-01-01,5
1869-01-01,10
1870-01-01,1
1872-01-01,5
1873-01-01,9
1874-01-01,12
1875-01-01,26
1876-01-01,7
1877-01-01,4
1878-01-01,12
1879-01-01,4
1880-01-01,8
1881-01-01,8
1882-01-01,20
1883-01-01,10
1884-01-01,19
1885-01-01,25
1886-01-01,21
1887-01-01,39
1888-01-01,42
1889-01-01,23
1890-01-01,16
1891-01-01,10
1892-01-01,28
1893-01-01,8
1894-01-01,22
1895-01-01,15
1896-01-01,35
1897-01-01,12
1898-01-01,15
1899-01-01,60
1/1/00,11
1/1/01,29
1/1/02,34
1/1/03,22
1/1/04,24
1/1/05,32
1/1/06,44
1/1/07,39
1/1/08,34
1/1/09,19
1/1/10,3
1/1/11,14
1/1/12,9
1/1/13,24
1/1/14,10
1/1/15,15
1/1/16,15
1/1/17,23
1/1/18,21
1/1/19,27
1/1/20,2
1/1/21,6
1/1/22,4
1/1/23,9
1/1/24,6
1/1/25,5
1/1/26,4
1/1/27,5
1/1/28,5
1/1/29,6
1/1/47,1
1/1/63,2
1/1/68,1
1/1/78,2
1/1/93,1
1/1/94,1
1/1/97,1
1/1/98,1
1/1/99,3
1/1/00,1
1/1/10,2
